Title,Problem Statement,Proposed Solution,User Impact,Effort (S/M/L/XL),Priority (1=Critical)
UX-001 — SLA Pill in Task List Rows,Agents and Managers cannot see SLA remaining time or SLA status in the task list — they must open each task individually to discover urgency. This causes missed SLAs and reactive rather than proactive triage.,"Add an SLA status pill to every task card row in the list showing one of: ""Inside SLA (Xh Xm)"" / ""Approaching SLA (Xm)"" / ""Overdue (by Xh Xm)"". Use colour + icon + text label (never colour alone) with tokens: --color-success / --color-warning / --color-error. Update every 60 seconds via polling.",High — enables self-prioritisation for agents; reduces Manager reassignment burden; prevents SLA breach by surfacing urgency at glance.,M,1
UX-002 — Inline Character Counter on Comment Box,The comment character limit (10–100 chars) is only discovered when validation fails on submit. Agents enter free text without knowing the range. This creates frustration and repeated re-entry friction.,"Add a live character counter beneath the comment textarea that appears on first keypress. Format: ""23/100 characters"". Counter turns --color-error when count is < 10 (too short) or attempts to exceed 100 (truncate input at 100). Display hint text before typing: ""Minimum 10, maximum 100 characters.""",High — eliminates the most common source of comment submission failure; reduces error recovery loops for agents.,S,1
UX-003 — Allowed Characters Hint on Comment Box,"Users do not know which special characters are allowed in the comment field until they trigger a validation error. Allowed: letters, numbers, spaces, comma, period, hyphen, double-quote, forward-slash. Error discovery forces re-typing.","Show persistent hint below the comment box on focus: ""Allowed characters: letters, numbers, spaces, , . - ""/. Do not modify input silently — show inline warning immediately when an invalid character is typed and prevent it from being entered.",High — prevents silent validation failure; reduces re-entry loop; aligns with error prevention heuristic.,S,1
UX-004 — Dynamic Confirmation Modal Content,The confirmation popup shows generic text regardless of the action type. Agents cannot distinguish between Complete and Cancel actions from modal text alone. Risk of accidental irreversible action.,"Replace static confirmation text with dynamic content that mirrors the selected action: title (""Mark as Complete"" / ""Cancel Task"" / ""Reassign Task"" / ""Escalate Task"" / ""Reprioritise Task""), task ID + title in body, SLA continuation notice where applicable. Use green header for completion; red header for cancellation.",High — prevents irreversible accidental actions; addresses error prevention (H5-03); builds user confidence.,S,1
UX-005 — Structured Reason Picker for Cancel/Reject,"When cancelling or rejecting a task, agents enter free text with no guidance on valid reasons. This produces inconsistent audit records, non-searchable data, and no basis for reporting rejection patterns.","Replace free-text cancellation reason with a structured dropdown of pre-defined reasons (e.g., ""Customer not available"" / ""Duplicate task"" / ""Out of jurisdiction"" / ""Customer cancelled request"" / ""Safety concern — cannot proceed"" / ""Other — see comment""). Always require a comment as well. Reasons configurable by Admin.",Medium — improves audit quality; enables cancel reason analytics; reduces cognitive load for agents.,M,2
UX-006 — Metric Tile Drill-Through on Dashboard,Dashboard KPI tiles (Total / Inside SLA / Approaching SLA / Overdue) are display-only. Managers must manually re-apply filters to see the corresponding subset of tasks. This adds friction to the morning SLA review flow.,"Make each metric tile a focusable button. On activation: automatically apply the corresponding filter to the task list panel below and scroll page to task list. Use aria-label: ""View X Overdue tasks"". Show active filter chip above list: ""Filtered by: Overdue × [clear]"".",High — accelerates Manager triage workflow; reduces 3 steps to 1 action; high-value low-effort improvement.,S,1
UX-007 — Business Area Switcher for Manager and Admin,Managers and Admins currently have no mechanism to view tasks from a different Business Area. Interview confirmed this is a pain point for cross-area triage. Admin requires global visibility by role definition.,"Add a Business Area Switcher in the dashboard toolbar. For Admin: dropdown shows all areas (default: All Areas). For Manager: shows own area (default) + read-only access to other areas. Persist selection in session. Show active area label as breadcrumb/header below page title.",High — directly addresses interview pain point; enables cross-area awareness; prerequisite for Admin role fulfilment.,M,1
UX-008 — SLA Reset Warning at Reprioritise Selection,"When an agent or manager selects ""Reprioritise"" from the action dropdown, there is no indication that this action resets the SLA timer until they read the confirmation modal. Many users will miss the implication.","Show a contextual callout immediately when ""Reprioritise"" is highlighted in the dropdown (before selection) and in the action panel after selection: ""Warning: Changing priority resets the SLA timer. New SLA will be calculated from now."" Also show calculated new deadline in confirmation modal.",High — prevents unintended SLA manipulation; addresses H5-02 (error prevention); critical for SLA integrity.,S,1
UX-009 — Auto-Refresh on Dashboard and Task List,Dashboard KPI tiles and the task list are static after page load — SLA status changes (e.g., approaching → overdue) are not reflected without a manual refresh. Managers monitoring SLA health throughout the day receive stale data.,"Poll the dashboard and task list every 60 seconds. Show: ""Last updated: 1 min ago"" beneath tiles. Animate newly changed rows subtly (colour fade) to draw attention. Allow manual refresh via a refresh icon button (aria-label: ""Refresh task list""). Honour prefers-reduced-motion.",High — prevents SLA breach from stale data; directly impacts Manager monitoring effectiveness.,M,1
UX-010 — Agent Workload Count in User Picker,"When a Manager reassigns a task using the user picker, there is no indication of how many active tasks each agent currently has. Managers are reassigning blind, potentially overloading some agents while others are idle.",Display a workload count badge next to each agent name in the user picker: ""Ahmed (3 active)"" / ""Sanjay (1 active)"" / ""Ben (9 active — high)"". Colour-code: ≤ 4 = --color-success; 5–7 = --color-warning; 8+ = --color-error. Also show last-active timestamp.,High — enables informed reassignment decisions; prevents over-assignment; reduces need for Manager chasing calls.,S,1
